"","no","speciesID","species","combination","temp","rep","sampling","cellVolume"
"1",1,"Asterio","mono","A","CS",1,1,25465487.436656
"2",2,"Asterio","mono","A","CS",2,1,14147493.0203644
"3",3,"Asterio","mono","A","CS",3,1,16033825.4230797
"4",458,"Asterio","quattro","AGRT","inc+fluc",2,3,77025239.7775397
"5",193,"Asterio","duo","AR","fluct",1,3,26723042.3717995
"6",321,"Asterio","duo","AT","inc+fluc",3,6,66021634.095034
"7",405,"Asterio","quattro","ADRT","fluct",3,9,218500169.981184
"8",459,"Asterio","quattro","AGRT","inc+fluc",3,3,52817307.2760272
"9",397,"Asterio","quattro","AGRT","fluct",1,1,3772664.80543052
"10",61,"Asterio","mono","A","inc",1,9,369406762.198405
"11",409,"Asterio","quattro","ADGT","fluct",1,9,287665691.414077
"12",463,"Asterio","quattro","ADRT","inc+fluc",1,3,68222355.2315352
"13",398,"Asterio","quattro","AGRT","fluct",2,1,8802884.54600454
"14",194,"Asterio","duo","AR","fluct",2,1,10374828.2149339
"15",410,"Asterio","quattro","ADGT","fluct",2,9,276662085.731571
"16",31,"Asterio","mono","A","fluct",1,1,25465487.436656
"17",32,"Asterio","mono","A","fluct",2,1,14147493.0203644
"18",33,"Asterio","mono","A","fluct",3,1,16033825.4230797
"19",411,"Asterio","quattro","ADGT","fluct",3,9,176057690.920091
"20",465,"Asterio","quattro","ADRT","inc+fluc",3,3,64135301.6923188
"21",403,"Asterio","quattro","ADRT","fluct",1,1,33010817.047517
"22",201,"Asterio","duo","AT","fluct",3,1,3772664.80543052
"23",415,"Asterio","quattro","ADGR","fluct",1,9,157980338.727403
"24",469,"Asterio","quattro","ADGT","inc+fluc",1,3,81426682.050542
"25",404,"Asterio","quattro","ADRT","fluct",2,1,17605769.0920091
"26",92,"Asterio","mono","A","inc+fluc",2,9,293953466.089794
"27",416,"Asterio","quattro","ADGR","fluct",2,9,173699775.416697
"28",470,"Asterio","quattro","ADGT","inc+fluc",2,3,70423076.3680363
"29",405,"Asterio","quattro","ADRT","fluct",3,1,15405047.9555079
"30",477,"Asterio","quattro","ADGR","inc+fluc",3,9,104534253.983804
"31",91,"Asterio","mono","A","inc+fluc",1,1,25465487.436656
"32",92,"Asterio","mono","A","inc+fluc",2,1,14147493.0203644
"33",93,"Asterio","mono","A","inc+fluc",3,1,16033825.4230797
"34",242,"Asterio","duo","AD","inc",2,12,233433634.836013
"35",243,"Asterio","duo","AD","inc",3,12,151692564.051685
"36",475,"Asterio","quattro","ADGR","inc+fluc",1,3,96831730.00605
"37",367,"Asterio","quattro","AGRT","CS",1,15,178415606.423485
"38",247,"Asterio","duo","AG","inc",1,12,270374311.055854
"39",248,"Asterio","duo","AG","inc",2,12,257012789.869954
"40",476,"Asterio","quattro","ADGR","inc+fluc",2,3,6602163.4095034
"41",368,"Asterio","quattro","AGRT","CS",2,15,229503775.66369
"42",122,"Asterio","duo","AD","CS",2,9,218500169.981184
"43",253,"Asterio","duo","AR","inc",1,12,168197972.575444
"44",477,"Asterio","quattro","ADGR","inc+fluc",3,3,15405047.9555079
"45",369,"Asterio","quattro","AGRT","CS",3,15,192563099.443849
"46",61,"Asterio","mono","A","inc",1,1,25465487.436656
"47",62,"Asterio","mono","A","inc",2,1,14147493.0203644
"48",63,"Asterio","mono","A","inc",3,1,16033825.4230797
"49",373,"Asterio","quattro","ADRT","CS",1,15,271160282.890318
"50",129,"Asterio","duo","AG","CS",3,9,172913803.582232
"51",428,"Asterio","quattro","AGRT","inc",2,9,219286141.815649
"52",133,"Asterio","duo","AR","CS",1,9,165840057.07205
"53",482,"Asterio","MIX","ADGRT","CS",2,3,33010817.047517
"54",134,"Asterio","duo","AR","CS",2,9,136759099.196856
"55",429,"Asterio","quattro","AGRT","inc",3,9,194921014.947243
"56",367,"Asterio","quattro","AGRT","CS",1,6,122611606.176492
"57",375,"Asterio","quattro","ADRT","CS",3,15,214570310.808861
"58",483,"Asterio","MIX","ADGRT","CS",3,3,44014422.7300227
"59",433,"Asterio","quattro","ADRT","inc",1,9,194135043.112779
"60",368,"Asterio","quattro","AGRT","CS",2,6,105320225.818269
"61",121,"Asterio","duo","AD","CS",1,1,15090659.2217221
"62",141,"Asterio","duo","AT","CS",3,9,190991155.77492
"63",122,"Asterio","duo","AD","CS",2,1,9431662.01357629
"64",369,"Asterio","quattro","AGRT","CS",3,6,99032451.1425511
"65",123,"Asterio","duo","AD","CS",3,1,5658997.20814578
"66",380,"Asterio","quattro","ADGT","CS",2,15,323034423.964988
"67",127,"Asterio","duo","AG","CS",1,1,10374828.2149339
"68",488,"Asterio","MIX","ADGRT","fluct",2,3,52817307.2760272
"69",128,"Asterio","duo","AG","CS",2,1,26723042.3717995
"70",381,"Asterio","quattro","ADGT","CS",3,15,322248452.130523
"71",129,"Asterio","duo","AG","CS",3,1,6602163.4095034
"72",374,"Asterio","quattro","ADRT","CS",2,6,84098986.287722
"73",133,"Asterio","duo","AR","CS",1,1,12261160.6176492
"74",489,"Asterio","MIX","ADGRT","fluct",3,3,26408653.6380136
"75",134,"Asterio","duo","AR","CS",2,1,10374828.2149339
"76",375,"Asterio","quattro","ADRT","CS",3,6,107678141.321663
"77",135,"Asterio","duo","AR","CS",3,1,4715831.00678815
"78",493,"Asterio","MIX","ADGRT","inc",1,3,127641825.917066
"79",139,"Asterio","duo","AT","CS",1,1,11317994.4162916
"80",379,"Asterio","quattro","ADGT","CS",1,6,134401183.693462
"81",140,"Asterio","duo","AT","CS",2,1,943166.201357629
"82",501,"Asterio","MIX","ADGRT","inc+fluc",3,12,117895775.169704
"83",141,"Asterio","duo","AT","CS",3,1,3772664.80543052
"84",380,"Asterio","quattro","ADGT","CS",2,6,132829240.024533
"85",434,"Asterio","quattro","ADRT","inc",2,1,17605769.0920091
"86",493,"Asterio","MIX","ADGRT","inc",1,1,13204326.8190068
"87",446,"Asterio","quattro","ADGR","inc",2,9,194292237.479672
"88",495,"Asterio","MIX","ADGRT","inc",3,3,101233172.279052
"89",435,"Asterio","quattro","ADRT","inc",3,1,15405047.9555079
"90",386,"Asterio","quattro","ADGR","CS",2,9,154836451.389544
"91",447,"Asterio","quattro","ADGR","inc",3,9,115537859.66631
"92",385,"Asterio","quattro","ADGR","CS",1,6,169769916.244373
"93",499,"Asterio","MIX","ADGRT","inc+fluc",1,3,39612980.4570204
"94",302,"Asterio","duo","AD","inc+fluc",2,12,216928226.312255
"95",303,"Asterio","duo","AD","inc+fluc",3,12,216142254.47779
"96",386,"Asterio","quattro","ADGR","CS",2,6,139902986.534715
"97",397,"Asterio","quattro","AGRT","fluct",1,15,223216000.987972
"98",500,"Asterio","MIX","ADGRT","inc+fluc",2,3,61620191.8220318
"99",308,"Asterio","duo","AG","inc+fluc",2,12,257012789.869954
"100",387,"Asterio","quattro","ADGR","CS",3,6,108464113.156127
"101",398,"Asterio","quattro","AGRT","fluct",2,15,194135043.112779
"102",182,"Asterio","duo","AD","fluct",2,9,282949860.407289
"103",501,"Asterio","MIX","ADGRT","inc+fluc",3,3,33010817.047517
"104",183,"Asterio","duo","AD","fluct",3,9,220858085.484578
"105",399,"Asterio","quattro","AGRT","fluct",3,15,200422817.788496
"106",187,"Asterio","duo","AG","fluct",1,9,308886930.944624
"107",457,"Asterio","quattro","AGRT","inc+fluc",1,9,152478535.88615
"108",1,"Asterio","mono","A","CS",1,6,270374311.055854
"109",2,"Asterio","mono","A","CS",2,6,262514592.711207
"110",3,"Asterio","mono","A","CS",3,6,222430029.153508
"111",458,"Asterio","quattro","AGRT","inc+fluc",2,9,165054085.237585
"112",193,"Asterio","duo","AR","fluct",1,9,190205183.940455
"113",404,"Asterio","quattro","ADRT","fluct",2,15,110036056.825057
"114",194,"Asterio","duo","AR","fluct",2,9,187847268.437061
"115",459,"Asterio","quattro","AGRT","inc+fluc",3,9,169769916.244373
"116",397,"Asterio","quattro","AGRT","fluct",1,6,110036056.825057
"117",405,"Asterio","quattro","ADRT","fluct",3,15,161124226.065262
"118",199,"Asterio","duo","AT","fluct",1,9,176843662.754555
"119",463,"Asterio","quattro","ADRT","inc+fluc",1,9,124183549.845421
"120",398,"Asterio","quattro","AGRT","fluct",2,6,106892169.487198
"121",181,"Asterio","duo","AD","fluct",1,1,15090659.2217221
"122",201,"Asterio","duo","AT","fluct",3,9,275090142.062642
"123",182,"Asterio","duo","AD","fluct",2,1,9431662.01357629
"124",32,"Asterio","mono","A","fluct",2,6,173699775.416697
"125",183,"Asterio","duo","AD","fluct",3,1,5658997.20814578
"126",33,"Asterio","mono","A","fluct",3,6,201208789.622961
"127",187,"Asterio","duo","AG","fluct",1,1,10374828.2149339
"128",403,"Asterio","quattro","ADRT","fluct",1,6,142260902.038109
"129",188,"Asterio","duo","AG","fluct",2,1,26723042.3717995
"130",411,"Asterio","quattro","ADGT","fluct",3,15,382768283.384305
"131",189,"Asterio","duo","AG","fluct",3,1,6602163.4095034
"132",404,"Asterio","quattro","ADRT","fluct",2,6,74667324.2741456
"133",193,"Asterio","duo","AR","fluct",1,1,12261160.6176492
"134",93,"Asterio","mono","A","inc+fluc",3,15,205924620.629749
"135",465,"Asterio","quattro","ADRT","inc+fluc",3,6,28294986.0407289
"136",405,"Asterio","quattro","ADRT","fluct",3,6,132829240.024533
"137",195,"Asterio","duo","AR","fluct",3,1,4715831.00678815
"138",61,"Asterio","mono","A","inc",1,6,261728620.876742
"139",199,"Asterio","duo","AT","fluct",1,1,11317994.4162916
"140",63,"Asterio","mono","A","inc",3,6,188633240.271526
"141",200,"Asterio","duo","AT","fluct",2,1,943166.201357629
"142",417,"Asterio","quattro","ADGR","fluct",3,15,170555888.078838
"143",470,"Asterio","quattro","ADGT","inc+fluc",2,6,33010817.047517
"144",410,"Asterio","quattro","ADGT","fluct",2,6,147762704.879362
"145",464,"Asterio","quattro","ADRT","inc+fluc",2,1,17605769.0920091
"146",61,"Asterio","mono","A","inc",1,3,27509014.2062642
"147",476,"Asterio","quattro","ADGR","inc+fluc",2,9,160338254.230797
"148",411,"Asterio","quattro","ADGT","fluct",3,6,113179944.162916
"149",465,"Asterio","quattro","ADRT","inc+fluc",3,1,15405047.9555079
"150",122,"Asterio","duo","AD","CS",2,15,157390859.851554
"151",475,"Asterio","quattro","ADGR","inc+fluc",1,6,20435267.696082
"152",415,"Asterio","quattro","ADGR","fluct",1,6,119467718.838633
"153",91,"Asterio","mono","A","inc+fluc",1,6,182345465.595808
"154",92,"Asterio","mono","A","inc+fluc",2,6,152478535.88615
