"","no","temp","nut","species","rep","V_ml","magn","plate","Alg","speciesID","GF","counts","sampling","A1","A2","A3","A4","A5","At_mm","Afield","cells_ml"
"1",1,"CS","Low","mono",1,0.5,40,1,"A1","Asterio",6,27,1,"A",NA,NA,NA,NA,78,0.0625,101088
"2",2,"CS","Low","mono",2,0.5,40,1,"A1","Asterio",6,15,1,"A",NA,NA,NA,NA,78,0.0625,56160
"3",3,"CS","Low","mono",3,0.5,40,1,"A1","Asterio",6,17,1,"A",NA,NA,NA,NA,78,0.0625,63648
"4",4,"CS","HI","mono",1,0.5,40,1,"A1","Asterio",6,18,1,"A",NA,NA,NA,NA,78,0.0625,67392
"5",5,"CS","HI","mono",2,0.5,40,1,"A1","Asterio",6,18,1,"A",NA,NA,NA,NA,78,0.0625,67392
"6",6,"CS","HI","mono",3,0.5,40,1,"A1","Asterio",6,9,1,"A",NA,NA,NA,NA,78,0.0625,33696
"7",7,"CS","Low","mono",1,0.5,10,1,"A1","DityCux",8,1,1,"D",NA,NA,NA,NA,78,1,312
"8",8,"CS","Low","mono",2,0.5,10,1,"A1","DityCux",8,1,1,"D",NA,NA,NA,NA,78,1,312
"9",9,"CS","Low","mono",3,0.5,10,1,"A1","DityCux",8,1,1,"D",NA,NA,NA,NA,78,1,312
"10",10,"CS","HI","mono",1,0.5,10,1,"A1","DityCux",8,1,1,"D",NA,NA,NA,NA,78,1,312
"11",11,"CS","HI","mono",2,0.5,10,1,"A1","DityCux",8,1,1,"D",NA,NA,NA,NA,78,1,312
"12",12,"CS","HI","mono",3,0.5,10,1,"A1","DityCux",8,1,1,"D",NA,NA,NA,NA,78,1,312
"13",13,"CS","Low","mono",1,0.5,10,1,"A1","Guido",14,5,1,"G",NA,NA,NA,NA,78,1,2730
"14",14,"CS","Low","mono",2,0.5,10,1,"A1","Guido",14,16,1,"G",NA,NA,NA,NA,78,1,8736
"15",15,"CS","Low","mono",3,0.5,10,1,"A1","Guido",14,11,1,"G",NA,NA,NA,NA,78,1,6006
"16",16,"CS","HI","mono",1,0.5,10,1,"A1","Guido",14,7,1,"G",NA,NA,NA,NA,78,1,3822
"17",17,"CS","HI","mono",2,0.5,10,1,"A1","Guido",14,6,1,"G",NA,NA,NA,NA,78,1,3276
"18",18,"CS","HI","mono",3,0.5,10,1,"A1","Guido",14,7,1,"G",NA,NA,NA,NA,78,1,3822
"19",19,"CS","Low","mono",1,0.5,10,1,"A1","Rhizo",6,2,1,"R",NA,NA,NA,NA,78,1,468
"20",20,"CS","Low","mono",2,0.5,10,1,"A1","Rhizo",6,3,1,"R",NA,NA,NA,NA,78,1,702
"21",21,"CS","Low","mono",3,0.5,10,1,"A1","Rhizo",6,2,1,"R",NA,NA,NA,NA,78,1,468
"22",22,"CS","HI","mono",1,0.5,10,1,"A1","Rhizo",6,8,1,"R",NA,NA,NA,NA,78,1,1872
"23",23,"CS","HI","mono",2,0.5,10,1,"A1","Rhizo",6,3,1,"R",NA,NA,NA,NA,78,1,702
"24",24,"CS","HI","mono",3,0.5,10,1,"A1","Rhizo",6,7,1,"R",NA,NA,NA,NA,78,1,1638
"25",25,"CS","Low","mono",1,0.5,20,1,"A1","ThalaCux",6,9,1,"T",NA,NA,NA,NA,78,0.25,8424
"26",26,"CS","Low","mono",2,0.5,20,1,"A1","ThalaCux",6,6,1,"T",NA,NA,NA,NA,78,0.25,5616
"27",27,"CS","Low","mono",3,0.5,20,1,"A1","ThalaCux",6,5,1,"T",NA,NA,NA,NA,78,0.25,4680
"28",28,"CS","HI","mono",1,0.5,20,1,"A1","ThalaCux",6,21,1,"T",NA,NA,NA,NA,78,0.25,19656
"29",29,"CS","HI","mono",2,0.5,20,1,"A1","ThalaCux",6,13,1,"T",NA,NA,NA,NA,78,0.25,12168
"30",30,"CS","HI","mono",3,0.5,20,1,"A1","ThalaCux",10,4,1,"T",NA,NA,NA,NA,78,0.25,6240
"31",31,"fluct","Low","mono",1,0.5,40,53,"A1","Asterio",6,27,1,"A",NA,NA,NA,NA,78,0.0625,101088
"32",32,"fluct","Low","mono",2,0.5,40,53,"A1","Asterio",6,15,1,"A",NA,NA,NA,NA,78,0.0625,56160
"33",33,"fluct","Low","mono",3,0.5,40,53,"A1","Asterio",6,17,1,"A",NA,NA,NA,NA,78,0.0625,63648
"34",34,"fluct","HI","mono",1,0.5,40,53,"A1","Asterio",6,18,1,"A",NA,NA,NA,NA,78,0.0625,67392
"35",35,"fluct","HI","mono",2,0.5,40,53,"A1","Asterio",6,18,1,"A",NA,NA,NA,NA,78,0.0625,67392
"36",36,"fluct","HI","mono",3,0.5,40,53,"A1","Asterio",6,9,1,"A",NA,NA,NA,NA,78,0.0625,33696
"37",37,"fluct","Low","mono",1,0.5,10,53,"A1","DityCux",8,1,1,"D",NA,NA,NA,NA,78,1,312
"38",38,"fluct","Low","mono",2,0.5,10,53,"A1","DityCux",8,1,1,"D",NA,NA,NA,NA,78,1,312
"39",39,"fluct","Low","mono",3,0.5,10,53,"A1","DityCux",8,1,1,"D",NA,NA,NA,NA,78,1,312
"40",40,"fluct","HI","mono",1,0.5,10,53,"A1","DityCux",8,1,1,"D",NA,NA,NA,NA,78,1,312
"41",41,"fluct","HI","mono",2,0.5,10,53,"A1","DityCux",8,1,1,"D",NA,NA,NA,NA,78,1,312
"42",42,"fluct","HI","mono",3,0.5,10,53,"A1","DityCux",8,1,1,"D",NA,NA,NA,NA,78,1,312
"43",43,"fluct","Low","mono",1,0.5,20,53,"A1","Guido",14,5,1,"G",NA,NA,NA,NA,78,0.25,10920
"44",44,"fluct","Low","mono",2,0.5,20,53,"A1","Guido",14,16,1,"G",NA,NA,NA,NA,78,0.25,34944
"45",45,"fluct","Low","mono",3,0.5,20,53,"A1","Guido",14,11,1,"G",NA,NA,NA,NA,78,0.25,24024
