"","combination","rep","temp","NBE","AUC.RR_exp","AUC.RR_obs","AUC.spp","N"
"1","AD",1,"Fluctuation",0.532223120060848,-0.334463151208389,0.197759968852459,0.644552647818784,2
"2","AG",1,"Fluctuation",2.31458241366506,-1.0206715106412,1.29391090302386,0.435031224481887,2
"3","AR",1,"Fluctuation",2.22626347253791,0.613584697801108,2.83984817033902,-0.341837710808166,2
"4","AT",1,"Fluctuation",0.285462942449889,-0.636955946916989,-0.351493004467101,-0.463992306629725,2
"5","AR",2,"Fluctuation",0.546735960400093,1.32650644824499,1.87324240864508,-0.202095436235416,2
"6","AD",2,"Fluctuation",1.63042309358725,-0.741313324551107,0.889109769036144,0.700216198599388,2
"7","AG",2,"Fluctuation",2.08813324545696,-0.5033411899202,1.58479205553676,0.666121266900884,2
"8","AT",2,"Fluctuation",2.29055899881863,-2.27932915278533,0.0112298460333043,-0.353082689775353,2
"9","AT",3,"Fluctuation",1.28318225337638,-1.46303428218896,-0.17985202881258,0.0461163248011109,2
"10","AD",3,"Fluctuation",0.208278965633106,-0.813096616173995,-0.604817650540889,0.619134748133851,2
"11","AG",3,"Fluctuation",1.77628096459453,-0.246223571987984,1.53005739260655,0.777025377026146,2
"12","AR",3,"Fluctuation",1.91975093504388,-0.230634368227102,1.68911656681678,-0.145021470698301,2
"13","AD",1,"Increase + Fluctuation",0.514581091131568,-1.01934146163861,-0.50476037050704,0.593146145179636,2
"14","AG",1,"Increase + Fluctuation",0.564391202689311,-0.772077921505018,-0.207686718815707,0.448072804514493,2
"15","AR",1,"Increase + Fluctuation",1.04400632922726,0.856601826760918,1.90060815598818,-0.544046170806689,2
"16","AT",1,"Increase + Fluctuation",3.7100841168951,-1.24676474136878,2.46331937552632,-0.550421149061647,2
"17","AD",2,"Increase + Fluctuation",3.27645266036533,-2.67284929584816,0.603603364517176,1.19616560398174,2
"18","AG",2,"Increase + Fluctuation",2.95481338352229,-2.74461199590031,0.21020138762198,1.02360604952749,2
"19","AR",2,"Increase + Fluctuation",0.280008760858627,0.745675656519943,1.02568441737857,-0.245480978471392,2
"20","AT",2,"Increase + Fluctuation",2.1586641852809,-3.02587249694912,-0.867208311668216,-0.342990433110215,2
"21","AD",3,"Increase + Fluctuation",1.17133268860939,-1.77353664990277,-0.602203961293383,0.905934610814061,2
"22","AG",3,"Increase + Fluctuation",1.56751208999347,-2.5895292002691,-1.02201711027563,0.396491988003848,2
"23","AR",3,"Increase + Fluctuation",2.11322014273952,-1.46487111959147,0.648349023148049,-0.0897656683184881,2
"24","AT",3,"Increase + Fluctuation",1.07451825677408,-2.1619946475118,-1.08747639073772,-0.0773499948686357,2
"25","AD",1,"Increase",0.225365250852094,0.130969347778369,0.356334598630463,0.128396460810447,2
"26","AG",1,"Increase",0.883595661459172,-0.297038765944971,0.586556895514201,0.592633747784362,2
"27","AR",1,"Increase",0.915550254541886,0.430331652324993,1.34588190686688,-0.290670407534595,2
"28","AT",1,"Increase",2.03019929550105,-1.43756763021514,0.592631665285903,-0.200850855811068,2
"29","AD",2,"Increase",0.769851427905256,0.149208496245179,0.919059924150435,0.398548523804008,2
"30","AG",2,"Increase",1.55657359237059,-0.46053386951938,1.09603972285121,0.351318516969267,2
"31","AR",2,"Increase",0.281451376946448,1.73056574728526,2.01201712423171,-0.112946429138061,2
"32","AT",2,"Increase",2.97781687365545,-2.93026529508125,0.0475515785742054,-0.369056810246566,2
"33","AD",3,"Increase",1.83025597103028,-0.70897693868282,1.12127903234746,0.855148428894217,2
"34","AG",3,"Increase",1.52832740203839,-0.999312217305043,0.529015184733351,0.64000153102149,2
"35","AR",3,"Increase",0.505547162420349,1.68159237256154,2.18713953498189,0.970466590587712,2
"36","AT",3,"Increase",4.26514287044173,-2.68268713562644,1.58245573481529,-0.0267909989040064,2
"37","DG",3,"Fluctuation",4.9728626886953,-3.09541073642029,1.877451952275,2.1944296353188,2
"38","AD",3,"Fluctuation",0.208278965633106,-0.813096616173995,-0.604817650540889,-0.717374503354339,2
"39","DT",3,"Fluctuation",0.150674343798671,-1.28300820062232,-1.13233385682365,0.190172457892098,2
"40","DR",3,"Fluctuation",2.08190798265264,-0.271932967346628,1.80997501530601,-0.210096515069969,2
"41","DG",1,"Increase + Fluctuation",4.33720775125252,-2.29431547096351,2.042892280289,1.99226087801175,2
"42","DR",1,"Increase + Fluctuation",0.75838574472421,0.235406600544948,0.993792345269158,0.544013049628727,2
"43","DT",1,"Increase + Fluctuation",1.24681946993617,-1.34841932939644,-0.101599859460269,0.142829287089749,2
"44","AD",1,"Increase + Fluctuation",0.514581091131568,-1.01934146163861,-0.50476037050704,-0.473011153922213,2
"45","DR",2,"Increase + Fluctuation",2.29688906832064,-0.130239713610798,2.16664935470984,0.435574473646421,2
"46","DG",2,"Increase + Fluctuation",1.23297333308824,-2.40111424831259,-1.16814091522435,-2.46328314308891,2
"47","AD",2,"Increase + Fluctuation",3.27645266036533,-2.67284929584816,0.603603364517176,0.0316557308704707,2
"48","DT",2,"Increase + Fluctuation",2.71197567003627,-2.37699206736205,0.334983602674213,-0.749656331212997,2
"49","DG",3,"Increase",0.0988217042242952,-0.384509012008693,-0.285687307784398,-2.69075587009716,2
"50","DT",3,"Increase",3.02591668699621,-2.16743380785446,0.858482879141754,-1.02009745335957,2
"51","DR",3,"Increase",-0.121710605850056,1.08628725225356,0.964576646403502,0.374043312683971,2
"52","AD",3,"Increase",1.83025597103028,-0.70897693868282,1.12127903234746,0.645572044039951,2
"53","DG",2,"Increase",-1.67355996403558,0.195618672844422,-1.47794129119116,-4.38878380341644,2
"54","DT",2,"Increase",2.40536291858573,-2.22559691746368,0.179766001122049,-1.40665597678211,2
"55","DR",2,"Increase",-0.0467216696059409,1.10246628419801,1.05574461459207,0.249130972672621,2
"56","AD",2,"Increase",0.769851427905256,0.149208496245179,0.919059924150435,0.322837878894585,2
"57","DG",1,"Fluctuation",4.89932070178032,-3.61679418939965,1.28252651238067,2.12458915864967,2
"58","AD",1,"Fluctuation",0.532223120060848,-0.334463151208389,0.197759968852459,-0.0507906146761137,2
"59","DR",1,"Fluctuation",2.83211862862053,0.353059060134549,3.18517768875508,-0.159242469393067,2
"60","DT",1,"Fluctuation",-0.895904971077586,-0.809567366379041,-1.70547233745663,1.80648555547385,2
"61","DT",2,"Fluctuation",3.11912197247307,-2.16498709499572,0.954134877477355,0.190222169650719,2
"62","DG",2,"Fluctuation",5.7556395981784,-2.66128839555431,3.09435120262409,3.07678431151312,2
"63","DR",2,"Fluctuation",1.00839719605764,0.8820894034316,1.89048659948924,-0.314228424848246,2
"64","AD",2,"Fluctuation",1.63042309358725,-0.741313324551107,0.889109769036144,-0.453342653230578,2
"65","DG",3,"Increase + Fluctuation",1.5689173297654,-2.29077010197493,-0.72185277220953,-2.60677991096181,2
"66","DR",3,"Increase + Fluctuation",4.4863716400958,-2.4209958723198,2.065375767776,0.37481888714827,2
"67","DT",3,"Increase + Fluctuation",1.59614900433556,-1.36454800343302,0.231601000902544,-0.64059692774122,2
"68","AD",3,"Increase + Fluctuation",1.17133268860939,-1.77353664990277,-0.602203961293383,-0.00567785944260582,2
"69","DR",1,"Increase",1.87258115926281,0.1267474128024,1.99932857206521,0.232579424791501,2
"70","DG",1,"Increase",-1.65724597920615,0.419261476201785,-1.23798450300437,-2.70723024660105,2
"71","DT",1,"Increase",2.45951282460548,-1.60880177287992,0.850711051725556,-0.861948898612483,2
"72","AD",1,"Increase",0.225365250852094,0.130969347778369,0.356334598630463,0.413661185195439,2
"73","GR",3,"Increase + Fluctuation",3.49035961116653,-2.43046429023727,1.05989532092926,-0.0286934780305749,2
"74","GT",3,"Increase + Fluctuation",0.508016413653386,-2.13834760959973,-1.63033119594634,-0.18709579187398,2
"75","AG",3,"Increase + Fluctuation",1.56751208999347,-2.5895292002691,-1.02201711027563,-0.0061761085003684,2
"76","DG",3,"Increase + Fluctuation",1.5689173297654,-2.29077010197493,-0.72185277220953,0.0224273353354326,2
"77","DG",1,"Fluctuation",4.89932070178032,-3.61679418939965,1.28252651238067,0.0054187389102498,2
"78","GR",1,"Fluctuation",6.41726634472789,0.375518594490112,6.792784939218,-0.0407539564644775,2
"79","GT",1,"Fluctuation",0.870471631335436,-0.815879559839682,0.0545920714957543,-0.13853289035043,2
"80","AG",1,"Fluctuation",2.31458241366506,-1.0206715106412,1.29391090302386,-0.00469303931195705,2
"81","GR",1,"Increase",1.68476454874891,0.036117585989214,1.72088213473812,0.0432288639225567,2
"82","AG",1,"Increase",0.883595661459172,-0.297038765944971,0.586556895514201,-0.0277153024519721,2
"83","DG",1,"Increase",-1.65724597920615,0.419261476201785,-1.23798450300437,0.0279480869647926,2
"84","GT",1,"Increase",3.72606187223533,-2.53690196623517,1.18915990600016,0.396267970726757,2
"85","AG",2,"Increase + Fluctuation",2.95481338352229,-2.74461199590031,0.21020138762198,0.00887662536417081,2
"86","DG",2,"Increase + Fluctuation",1.23297333308824,-2.40111424831259,-1.16814091522435,0.0130561594718143,2
"87","GR",2,"Increase + Fluctuation",2.47223838737917,-0.0727159185006361,2.39952246887854,0.0249032634836466,2
"88","GT",2,"Increase + Fluctuation",1.28249820220789,-2.74772872815808,-1.46523052595019,-0.144010623676141,2
"89","AG",2,"Fluctuation",2.08813324545696,-0.5033411899202,1.58479205553676,-0.00346587311400543,2
"90","DG",2,"Fluctuation",5.7556395981784,-2.66128839555431,3.09435120262409,0.0970003599283252,2
"91","GR",2,"Fluctuation",5.75109483460057,1.02599806249686,6.77709289709743,0.0340711456501705,2
"92","GT",2,"Fluctuation",1.40593666043691,-2.37516187367673,-0.969225213239812,0.0263045438201881,2
"93","GR",3,"Fluctuation",6.09530822274596,-0.0994958253145665,5.99581239743139,-0.113228385884761,2
"94","DG",3,"Fluctuation",4.9728626886953,-3.09541073642029,1.877451952275,-0.0509307135176671,2
"95","AG",3,"Fluctuation",1.77628096459453,-0.246223571987984,1.53005739260655,-0.0890080566071288,2
"96","GT",3,"Fluctuation",1.23278268942827,-1.29643996383049,-0.063657274402223,-0.329405348317291,2
"97","AG",1,"Increase + Fluctuation",0.564391202689311,-0.772077921505018,-0.207686718815707,-0.0306105604490268,2
"98","GT",1,"Increase + Fluctuation",0.295038383080968,-1.56424756576242,-1.26920918268145,-0.10913500228962,2
"99","DG",1,"Increase + Fluctuation",4.33720775125252,-2.29431547096351,2.042892280289,0.0315080344713843,2
"100","GR",1,"Increase + Fluctuation",1.37458911913188,0.192628083247033,1.56721720237891,-0.0555221708472555,2
"101","GR",2,"Increase",-1.02658444631715,1.10936950326438,0.0827850569472236,-0.00629795640140244,2
"102","AG",2,"Increase",1.55657359237059,-0.46053386951938,1.09603972285121,-0.00755524505816606,2
"103","GT",2,"Increase",4.84623047369668,-3.87438474021391,0.97184573348277,-0.070522596456802,2
"104","DG",2,"Increase",-1.67355996403558,0.195618672844422,-1.47794129119116,-0.0451111032927125,2
"105","GR",3,"Increase",0.724502552480082,1.11053526985715,1.83503782233723,0.00812369232779836,2
"106","DG",3,"Increase",0.0988217042242952,-0.384509012008693,-0.285687307784398,-0.0023183831601064,2
"107","GT",3,"Increase",4.07674807202953,-3.12853744719689,0.948210624832642,0.295245861790413,2
"108","AG",3,"Increase",1.52832740203839,-0.999312217305043,0.529015184733351,-0.0234383425886778,2
"109","GR",3,"Increase",0.724502552480082,1.11053526985715,1.83503782233723,-7.03256318709391,2
"110","DR",3,"Increase",-0.121710605850056,1.08628725225356,0.964576646403502,-5.26365570031736,2
"111","RT",3,"Increase",0.262213865823764,0.490463612842521,0.752677478666286,-1.66969877880235,2
"112","AR",3,"Increase",0.505547162420349,1.68159237256154,2.18713953498189,-2.19692063661908,2
"113","GR",2,"Increase",-1.02658444631715,1.10936950326438,0.0827850569472236,-7.26497313259777,2
"114","DR",2,"Increase",-0.0467216696059409,1.10246628419801,1.05574461459207,-3.3418214990157,2
"115","RT",2,"Increase",0.672779135126678,0.601229407626293,1.27400854275297,-0.55972230703472,2
"116","AR",2,"Increase",0.281451376946448,1.73056574728526,2.01201712423171,-0.454954727841556,2
"117","GR",2,"Increase + Fluctuation",2.47223838737917,-0.0727159185006361,2.39952246887854,-1.26047843275548,2
"118","AR",2,"Increase + Fluctuation",0.280008760858627,0.745675656519943,1.02568441737857,-3.80546406695715,2
"119","DR",2,"Increase + Fluctuation",2.29688906832064,-0.130239713610798,2.16664935470984,-0.672954212584028,2
"120","RT",2,"Increase + Fluctuation",1.61604931987074,0.201448887969565,1.81749820784031,-0.667058091755457,2
"121","AR",1,"Increase",0.915550254541886,0.430331652324993,1.34588190686688,-1.20152938962924,2
"122","GR",1,"Increase",1.68476454874891,0.036117585989214,1.72088213473812,-10.9575463006734,2
"123","RT",1,"Increase",2.82662975180624,-0.411812701873655,2.41481704993259,3.23795798482299,2
"124","DR",1,"Increase",1.87258115926281,0.1267474128024,1.99932857206521,-5.91431055747503,2
"125","GR",1,"Increase + Fluctuation",1.37458911913188,0.192628083247033,1.56721720237891,-0.171104061123045,2
"126","RT",1,"Increase + Fluctuation",2.48117052168537,0.486119961694847,2.96729048338022,2.22189336026529,2
"127","DR",1,"Increase + Fluctuation",0.75838574472421,0.235406600544948,0.993792345269158,-3.27023020378293,2
"128","AR",1,"Increase + Fluctuation",1.04400632922726,0.856601826760918,1.90060815598818,0.498163536886206,2
"129","AR",3,"Increase + Fluctuation",2.11322014273952,-1.46487111959147,0.648349023148049,4.7275400094748,2
"130","GR",3,"Increase + Fluctuation",3.49035961116653,-2.43046429023727,1.05989532092926,3.62071678733393,2
"131","RT",3,"Increase + Fluctuation",2.63396140442894,-1.64507057854174,0.988890825887204,2.58809950744614,2
"132","DR",3,"Increase + Fluctuation",4.4863716400958,-2.4209958723198,2.065375767776,6.83562163115646,2
"133","GR",2,"Fluctuation",5.75109483460057,1.02599806249686,6.77709289709743,32.8216427360085,2
"134","AR",2,"Fluctuation",0.546735960400093,1.32650644824499,1.87324240864508,-0.498058834241897,2
"135","DR",2,"Fluctuation",1.00839719605764,0.8820894034316,1.89048659948924,-0.412144583974249,2
"136","RT",2,"Fluctuation",0.0862888650950095,0.323296571133577,0.409585436228586,-0.828547399508936,2
"137","GR",3,"Fluctuation",6.09530822274596,-0.0994958253145665,5.99581239743139,33.3475350900333,2
"138","DR",3,"Fluctuation",2.08190798265264,-0.271932967346628,1.80997501530601,1.84903368828788,2
"139","RT",3,"Fluctuation",1.1688197493884,-0.489331528156406,0.679488221231995,0.953000777618989,2
"140","AR",3,"Fluctuation",1.91975093504388,-0.230634368227102,1.68911656681678,1.40938697166021,2
"141","GR",1,"Fluctuation",6.41726634472789,0.375518594490112,6.792784939218,45.7827321906951,2
"142","DR",1,"Fluctuation",2.83211862862053,0.353059060134549,3.18517768875508,2.72506160428121,2
"143","RT",1,"Fluctuation",1.87655858381865,0.0893036023596528,1.9658621861783,4.91694016345851,2
"144","AR",1,"Fluctuation",2.22626347253791,0.613584697801108,2.83984817033902,4.30008241775906,2
"145","AT",3,"Increase",4.26514287044173,-2.68268713562644,1.58245573481529,3.80370775047275,2
"146","RT",3,"Increase",0.262213865823764,0.490463612842521,0.752677478666286,0.410958582579803,2
"147","DT",3,"Increase",3.02591668699621,-2.16743380785446,0.858482879141754,4.82517781934553,2
"148","GT",3,"Increase",4.07674807202953,-3.12853744719689,0.948210624832642,4.29327628678491,2
"149","RT",1,"Increase",2.82662975180624,-0.411812701873655,2.41481704993259,1.27804438048483,2
"150","AT",1,"Increase",2.03019929550105,-1.43756763021514,0.592631665285903,2.15132219530029,2
"151","DT",1,"Increase",2.45951282460548,-1.60880177287992,0.850711051725556,3.96021434417643,2
"152","GT",1,"Increase",3.72606187223533,-2.53690196623517,1.18915990600016,3.7050143392562,2
"153","DT",2,"Fluctuation",3.11912197247307,-2.16498709499572,0.954134877477355,2.21664185999274,2
"154","AT",2,"Fluctuation",2.29055899881863,-2.27932915278533,0.0112298460333043,2.25666253799822,2
"155","GT",2,"Fluctuation",1.40593666043691,-2.37516187367673,-0.969225213239812,0.190222377733444,2
"156","RT",2,"Fluctuation",0.0862888650950095,0.323296571133577,0.409585436228586,0.441968874436273,2
"157","DT",2,"Increase + Fluctuation",2.71197567003627,-2.37699206736205,0.334983602674213,1.15552099806363,2
"158","RT",2,"Increase + Fluctuation",1.61604931987074,0.201448887969565,1.81749820784031,1.00885388788069,2
"159","AT",2,"Increase + Fluctuation",2.1586641852809,-3.02587249694912,-0.867208311668216,2.23469491826581,2
"160","GT",2,"Increase + Fluctuation",1.28249820220789,-2.74772872815808,-1.46523052595019,-0.535482896519867,2
"161","RT",1,"Fluctuation",1.87655858381865,0.0893036023596528,1.9658621861783,0.0547029739955711,2
"162","AT",1,"Fluctuation",0.285462942449889,-0.636955946916989,-0.351493004467101,0.96787800023346,2
"163","DT",1,"Fluctuation",-0.895904971077586,-0.809567366379041,-1.70547233745663,-1.07850256892697,2
"164","GT",1,"Fluctuation",0.870471631335436,-0.815879559839682,0.0545920714957543,-0.972252724776151,2
"165","RT",3,"Fluctuation",1.1688197493884,-0.489331528156406,0.679488221231995,1.46446305900555,2
"166","GT",3,"Fluctuation",1.23278268942827,-1.29643996383049,-0.063657274402223,0.597834729242183,2
"167","AT",3,"Fluctuation",1.28318225337638,-1.46303428218896,-0.17985202881258,1.40410605057468,2
"168","DT",3,"Fluctuation",0.150674343798671,-1.28300820062232,-1.13233385682365,1.23528320491226,2
"169","RT",1,"Increase + Fluctuation",2.48117052168537,0.486119961694847,2.96729048338022,1.07658319009635,2
"170","GT",1,"Increase + Fluctuation",0.295038383080968,-1.56424756576242,-1.26920918268145,-1.41582489864835,2
"171","AT",1,"Increase + Fluctuation",3.7100841168951,-1.24676474136878,2.46331937552632,4.54808869486387,2
"172","DT",1,"Increase + Fluctuation",1.24681946993617,-1.34841932939644,-0.101599859460269,0.502644072485351,2
"173","GT",3,"Increase + Fluctuation",0.508016413653386,-2.13834760959973,-1.63033119594634,-0.844235953101103,2
"174","RT",3,"Increase + Fluctuation",2.63396140442894,-1.64507057854174,0.988890825887204,2.54313379815582,2
"175","AT",3,"Increase + Fluctuation",1.07451825677408,-2.1619946475118,-1.08747639073772,2.03125207488964,2
"176","DT",3,"Increase + Fluctuation",1.59614900433556,-1.36454800343302,0.231601000902544,1.81926235105913,2
"177","DT",2,"Increase",2.40536291858573,-2.22559691746368,0.179766001122049,2.63684508392197,2
"178","AT",2,"Increase",2.97781687365545,-2.93026529508125,0.0475515785742054,2.92376425737438,2
"179","GT",2,"Increase",4.84623047369668,-3.87438474021391,0.97184573348277,5.25495910507543,2
"180","RT",2,"Increase",0.672779135126678,0.601229407626293,1.27400854275297,1.54186002673288,2
"181","ADRT",1,"Increase",-2.46800468845682,0.0698509576888464,-2.39815373076797,-0.250765289815998,4
"182","ADGR",1,"Increase",-1.32877825829594,0.236685929440907,-1.09209232885503,-0.341122859499378,4
"183","ADGRT",1,"Increase",0.77245131585007,-0.0809021641459532,0.691549151704117,-0.158662475374449,5
"184","ADGT",1,"Increase",0.0969499782594674,-1.10631307903898,-1.00936310077951,0.0433820533987108,4
"185","AGRT",1,"Increase",0.116197046330315,-0.374492468463692,-0.258295422133377,0.0793638615395862,4
"186","AGRT",1,"Fluctuation",0.460874367989654,-0.195251451783362,0.265622916206292,-0.125393725487832,4
"187","ADRT",1,"Fluctuation",-2.560826932101,0.00496559708316582,-2.55586133501784,-0.468960870326802,4
"188","ADGRT",1,"Fluctuation",-0.15772114431367,-0.163713075782856,-0.321434220096526,-0.406237184260493,5
"189","ADGT",1,"Fluctuation",1.24462624105261,-0.90927147363048,0.335354767422135,0.0578109859555071,4
"190","ADGR",1,"Fluctuation",-1.5010053141663,0.0807642725937715,-1.42024104157253,-0.469581925147997,4
"191","AGRT",2,"Fluctuation",1.16328885235733,-0.237676382947068,0.92561246941026,0.1592997855031,4
"192","ADRT",2,"Fluctuation",0.8689356999217,-0.340204985729781,0.528730714191919,-0.383995603957176,4
"193","ADGT",2,"Fluctuation",2.06722242387492,-1.77412158948173,0.293100834393183,-0.0587421592541568,4
"194","ADGR",2,"Fluctuation",-0.254798627593095,0.686321237523266,0.431522609930171,-0.0977877509257803,4
"195","ADGRT",2,"Fluctuation",0.175559866382557,-0.417051027213919,-0.241491160831361,-0.449897413953336,5
"196","ADRT",3,"Fluctuation",-1.09281951596759,-0.781369118415456,-1.87418863438305,-0.0548238424460372,4
"197","ADGRT",3,"Fluctuation",0.154940635431616,-0.858945448907603,-0.704004813475987,-0.566257128946732,5
"198","AGRT",3,"Fluctuation",1.51843448494037,-0.69004572064665,0.82838876429372,0.00629980569159813,4
"199","ADGT",3,"Fluctuation",-0.389364640039074,-1.13418083159588,-1.52354547163496,-0.333791312887443,4
"200","ADGR",3,"Fluctuation",0.534901326639995,-0.243155972695706,0.291745353944289,-0.297835730006644,4
"201","AGRT",2,"Increase + Fluctuation",0.275394790867125,-0.736124137713767,-0.460729346846642,-0.21354967229927,4
"202","ADGR",2,"Increase + Fluctuation",1.1081818617119,-0.0948864020646194,1.01329545964728,-0.344289018530083,4
"203","ADGRT",2,"Increase + Fluctuation",0.902531420962352,-0.604400500430307,0.298130920532045,-0.354624979465966,5
"204","ADGT",2,"Increase + Fluctuation",3.41353769363748,-2.74389411484789,0.669643578789598,-0.13736529967718,4
"205","ADRT",2,"Increase + Fluctuation",-1.34984909367616,-0.619454270055497,-1.96930336373165,-0.233404589684834,4
"206","ADGRT",1,"Increase + Fluctuation",0.0344267377356352,-0.116605856881949,-0.0821791191463142,-0.681981121721895,5
"207","ADRT",1,"Increase + Fluctuation",-2.27321211169,-0.343349818642548,-2.61656193033254,-0.671943814585107,4
