"","combination","rep","temp","NBE","AUC.RR_exp","AUC.RR_obs","N"
"1","AR",2,"Fluctuation",-5.92101022179715,0.665581555869741,-5.25542866592741,2
"2","AT",3,"Fluctuation",-5.6775214139285,-1.37352312629937,-7.05104454022787,2
"3","AD",1,"Fluctuation",-5.4505725063585,-0.516223745616208,-5.9667962519747,2
"4","AD",2,"Fluctuation",-5.40009060611751,-0.516223745616208,-5.91631435173372,2
"5","AD",3,"Fluctuation",-6.54845706410941,-0.516223745616208,-7.06468080972562,2
"6","AG",1,"Fluctuation",-5.54695196551427,-0.397326851289698,-5.94427881680397,2
"7","AG",2,"Fluctuation",-5.32310095980906,-0.397326851289698,-5.72042781109875,2
"8","AG",3,"Fluctuation",-5.27381804858879,-0.397326851289698,-5.67114489987849,2
"9","AR",1,"Fluctuation",-5.20629512208346,0.665581555869741,-4.54071356621372,2
"10","AR",3,"Fluctuation",-6.20751302495936,0.665581555869741,-5.54193146908962,2
"11","AT",1,"Fluctuation",-5.74590827714312,-1.37352312629937,-7.11943140344248,2
"12","AT",2,"Fluctuation",-5.39545082691095,-1.37352312629937,-6.76897395321032,2
"13","DG",1,"Fluctuation",-2.3153564891752,-3.05313054299935,-5.36848703217455,2
"14","DT",2,"Fluctuation",-4.75649261512989,-1.3492098287626,-6.10570244389249,2
"15","DG",3,"Fluctuation",-1.98948039432025,-3.05313054299935,-5.0426109373196,2
"16","DT",3,"Fluctuation",-6.09103581639724,-1.3492098287626,-7.44024564515985,2
"17","DR",1,"Fluctuation",-4.42802061359075,0.417948775552525,-4.01007183803823,2
"18","DG",2,"Fluctuation",-0.764579223979125,-3.05313054299935,-3.81770976697847,2
"19","DR",2,"Fluctuation",-5.68333253010105,0.417948775552525,-5.26538375454852,2
"20","DR",3,"Fluctuation",-5.67074027188434,0.417948775552525,-5.25279149633181,2
"21","DT",1,"Fluctuation",-6.67666563698036,-1.3492098287626,-8.02587546574297,2
"22","GR",3,"Fluctuation",-0.973632876027411,0.530593571701597,-0.443039304325814,2
"23","GR",2,"Fluctuation",0.0058953083912493,0.530593571701597,0.536488880092846,2
"24","GR",1,"Fluctuation",0.0341639049353005,0.530593571701597,0.564757476636897,2
"25","GT",1,"Fluctuation",-5.28489246379652,-1.42472888657074,-6.70962135036726,2
"26","GT",3,"Fluctuation",-5.49142188546792,-1.42472888657074,-6.91615077203866,2
"27","GT",2,"Fluctuation",-6.11750871470785,-1.42472888657074,-7.5422376012786,2
"28","RT",1,"Fluctuation",-5.2830134160185,0.0541021099352185,-5.22891130608328,2
"29","RT",3,"Fluctuation",-6.30719921176754,0.0541021099352185,-6.25309710183233,2
"30","RT",2,"Fluctuation",-6.55591381312381,0.0541021099352185,-6.50181170318859,2
"31","AD",1,"Increase",-5.96472543719367,-0.0609223836960461,-6.02564782088972,2
"32","AD",2,"Increase",-5.43061547768163,-0.0609223836960461,-5.49153786137767,2
"33","AD",3,"Increase",-5.34783378981042,-0.0609223836960461,-5.40875617350647,2
"34","AG",1,"Increase",-5.89110957728715,-0.518350829795333,-6.40946040708248,2
"35","AG",2,"Increase",-5.59589949360482,-0.518350829795333,-6.11425032340016,2
"36","AG",3,"Increase",-5.92053782099172,-0.518350829795333,-6.43888865078705,2
"37","AR",1,"Increase",-6.75673800840462,1.66732444210089,-5.08941356630373,2
"38","AR",2,"Increase",-6.68298271313249,1.66732444210089,-5.0156582710316,2
"39","AR",3,"Increase",-6.3525357473302,1.66732444210089,-4.68521130522931,2
"40","AT",1,"Increase",-4.1193678556349,-2.26969095572928,-6.38905881136418,2
"41","AT",2,"Increase",-4.55478375849166,-2.26969095572928,-6.82447471422094,2
"42","AT",3,"Increase",-3.28308671358799,-2.26969095572928,-5.55277766931727,2
"43","DG",2,"Increase",-7.92105664603216,0.263818642883944,-7.65723800314822,2
"44","DT",2,"Increase",-4.64172416741299,-1.94307223334874,-6.58479640076173,2
"45","DG",3,"Increase",-7.33648597769461,0.263818642883944,-7.07266733481067,2
"46","DR",1,"Increase",-5.885038673246,1.15440518594745,-4.73063348729854,2
"47","DG",1,"Increase",-8.02155909347544,0.263818642883944,-7.7577404505915,2
"48","DR",2,"Increase",-7.01190610519778,1.15440518594745,-5.85750091925032,2
"49","DT",3,"Increase",-3.93451422142191,-1.94307223334874,-5.87758645477065,2
"50","DR",3,"Increase",-6.93488140157836,1.15440518594745,-5.7804762156309,2
"51","DT",1,"Increase",-4.08405900130827,-1.94307223334874,-6.027131234657,2
"52","GR",1,"Increase",-6.26170638610229,1.17005942701487,-5.09164695908742,2
"53","GR",3,"Increase",-6.34043523107746,1.17005942701487,-5.1703758040626,2
"54","GR",2,"Increase",-7.56731162915837,1.17005942701487,-6.39725220214351,2
"55","GT",1,"Increase",-2.87873655630047,-3.10169493541447,-5.98043149171494,2
"56","GT",2,"Increase",-2.88550348757854,-3.10169493541447,-5.98719842299302,2
"57","GT",3,"Increase",-2.92353616032004,-3.10169493541447,-6.02523109573452,2
"58","RT",1,"Increase",-5.27685152936616,0.52005475558768,-4.75679677377848,2
"59","RT",3,"Increase",-6.79777182349401,0.52005475558768,-6.27771706790633,2
"60","RT",2,"Increase",-6.32553571736868,0.52005475558768,-5.805480961781,2
"61","AD",1,"Increase + Fluctuation",-5.1051791914028,-1.7163903920804,-6.8215695834832,2
"62","AD",2,"Increase + Fluctuation",-4.2415074913848,-1.7163903920804,-5.9578978834652,2
"63","AD",3,"Increase + Fluctuation",-5.2238617250542,-1.7163903920804,-6.9402521171346,2
"64","AG",1,"Increase + Fluctuation",-5.0904410442826,-1.92907253815203,-7.01951358243462,2
"65","AG",2,"Increase + Fluctuation",-4.76010112272235,-1.92907253815203,-6.68917366087437,2
"66","AG",3,"Increase + Fluctuation",-5.72460720871468,-1.92907253815203,-7.65367974686671,2
"67","AR",1,"Increase + Fluctuation",-5.58987307457477,0.293157643016137,-5.29671543155863,2
"68","AR",2,"Increase + Fluctuation",-6.44853018272582,0.293157643016137,-6.15537253970969,2
"69","AR",3,"Increase + Fluctuation",-6.44766711772657,0.293157643016137,-6.15450947471043,2
"70","AT",1,"Increase + Fluctuation",-2.75513115902512,-2.05045051593154,-4.80558167495666,2
"71","AT",2,"Increase + Fluctuation",-5.40187962305204,-2.05045051593154,-7.45233013898358,2
"72","AT",3,"Increase + Fluctuation",-5.50977302031283,-2.05045051593154,-7.56022353624437,2
"73","DG",1,"Increase + Fluctuation",-2.51091396059314,-2.14676642009121,-4.65768038068435,2
"74","DR",2,"Increase + Fluctuation",-3.76615316336371,-0.488404590991531,-4.25455775435525,2
"75","DG",2,"Increase + Fluctuation",-5.15576161686226,-2.14676642009121,-7.30252803695347,2
"76","DR",1,"Increase + Fluctuation",-5.13172136386413,-0.488404590991531,-5.62012595485566,2
"77","DT",1,"Increase + Fluctuation",-4.9689322865831,-1.61564512236516,-6.58457740894826,2
"78","DT",2,"Increase + Fluctuation",-4.85546078969714,-1.61564512236516,-6.4711059120623,2
"79","DG",3,"Increase + Fluctuation",-4.93968740424304,-2.14676642009121,-7.08645382433425,2
"80","DR",3,"Increase + Fluctuation",-3.31825279404168,-0.488404590991531,-3.80665738503321,2
"81","DT",3,"Increase + Fluctuation",-4.89292456666781,-1.61564512236516,-6.50856968903297,2
"82","GR",2,"Increase + Fluctuation",-4.01904578319761,-0.47357502849132,-4.49262081168893,2
"83","GR",3,"Increase + Fluctuation",-5.30542320995214,-0.47357502849132,-5.77899823844346,2
"84","GT",1,"Increase + Fluctuation",-5.69467583161488,-2.0601620776534,-7.75483790926828,2
"85","GR",1,"Increase + Fluctuation",-4.72521373064908,-0.47357502849132,-5.1987887591404,2
"86","GT",3,"Increase + Fluctuation",-5.939321890141,-2.0601620776534,-7.9994839677944,2
"87","GT",2,"Increase + Fluctuation",-5.78881971205733,-2.0601620776534,-7.84898178971072,2
"88","RT",1,"Increase + Fluctuation",-4.1671441356876,-0.124059976973572,-4.29120411266118,2
"89","RT",3,"Increase + Fluctuation",-5.83359751182121,-0.124059976973572,-5.95765748879478,2
"90","RT",2,"Increase + Fluctuation",-5.08548998941033,-0.124059976973572,-5.2095499663839,2
"91","AGRT",1,"Fluctuation",-5.9439050463646,-0.327642629363097,-6.2715476757277,4
"92","AGRT",2,"Fluctuation",-5.68631772664532,-0.327642629363097,-6.01396035600841,4
"93","ADRT",1,"Fluctuation",-8.34318233947042,-0.336332670730672,-8.6795150102011,4
"94","ADRT",2,"Fluctuation",-5.80717865402828,-0.336332670730672,-6.14351132475895,4
"95","ADRT",3,"Fluctuation",-7.81914346840802,-0.336332670730672,-8.15547613913869,4
"96","ADGRT",1,"Fluctuation",-6.60771480885151,-0.442637265760043,-7.05035207461156,5
"97","ADGRT",3,"Fluctuation",-6.78720343403919,-0.442637265760043,-7.22984069979924,5
"98","ADGT",2,"Fluctuation",-5.46234740962454,-1.20340697574127,-6.66575438536581,4
"99","AGRT",3,"Fluctuation",-5.55140156798631,-0.327642629363097,-5.87904419734941,4
"100","ADGT",1,"Fluctuation",-5.45793787988279,-1.20340697574127,-6.66134485562406,4
"101","ADGT",3,"Fluctuation",-6.78428428521527,-1.20340697574127,-7.98769126095654,4
"102","ADGR",1,"Fluctuation",-7.82727410615615,0.234595559963233,-7.59267854619291,4
"103","ADGR",2,"Fluctuation",-6.6009102142181,0.234595559963233,-6.36631465425487,4
"104","ADGR",3,"Fluctuation",-6.75850219206869,0.234595559963233,-6.52390663210546,4
"105","ADGRT",2,"Fluctuation",-6.47221703359007,-0.442637265760043,-6.91485429935011,5
"106","DGRT",3,"Fluctuation",-7.25158692286833,0.139396505220401,-7.11219041764793,4
"107","DGRT",2,"Fluctuation",-6.75770765660114,0.139396505220401,-6.61831115138074,4
"108","DGRT",1,"Fluctuation",-7.19191309251631,0.139396505220401,-7.05251658729591,4
"109","ADRT",2,"Increase",-9.58574513423834,0.162564624728688,-9.42318050950965,4
"110","ADGRT",1,"Increase",-6.61198938970615,0.260951940183465,-6.35103744952269,5
"111","ADRT",3,"Increase",-9.1650765675599,0.162564624728688,-9.00251194283121,4
"112","ADGRT",2,"Increase",-7.09985979675203,0.260951940183465,-6.83890785656856,5
"113","ADGT",2,"Increase",-5.70651718970688,-1.46759697544159,-7.17411416514847,4
"114","AGRT",1,"Increase",-6.97868402670079,0.148431397941524,-6.83025262875926,4
"115","AGRT",3,"Increase",-7.52590771780682,0.148431397941524,-7.37747631986529,4
"116","ADGR",2,"Increase",-10.1407187239102,1.07339551601578,-9.06732320789443,4
"117","AGRT",2,"Increase",-6.57318587367612,0.148431397941524,-6.4247544757346,4
"118","ADRT",1,"Increase",-8.70449515848528,0.162564624728688,-8.54193053375659,4
"119","ADGT",1,"Increase",-6.11357194401056,-1.46759697544159,-7.58116891945214,4
"120","ADGRT",3,"Increase",-7.35597223415324,0.260951940183465,-7.09502029396977,5
"121","ADGT",3,"Increase",-5.88121675182955,-1.46759697544159,-7.34881372727114,4
"122","ADGR",1,"Increase",-8.66666686054263,1.07339551601578,-7.59327134452686,4
"123","ADGR",3,"Increase",-9.78388457475023,1.07339551601578,-8.71048905873445,4
"124","DGRT",1,"Increase",-6.74328938501102,0.440629445577806,-6.30265993943322,4
"125","DGRT",2,"Increase",-5.11835606631951,0.440629445577806,-4.67772662074171,4
"126","DGRT",3,"Increase",-7.84811837970492,0.440629445577806,-7.40748893412712,4
"127","ADRT",2,"Increase + Fluctuation",-7.32320536301526,-0.959240337884908,-8.28244570090017,4
"128","ADRT",3,"Increase + Fluctuation",-7.91567784659066,-0.959240337884908,-8.87491818447557,4
"129","ADGRT",1,"Increase + Fluctuation",-5.92839001264342,-0.828874546142895,-6.75726455878632,5
"130","ADGRT",2,"Increase + Fluctuation",-5.73066489938573,-0.828874546142895,-6.55953944552863,5
"131","ADRT",1,"Increase + Fluctuation",-7.66999067047425,-0.959240337884908,-8.62923100835916,4
"132","ADGT",2,"Increase + Fluctuation",-4.31206211340398,-1.96449349842213,-6.2765556118261,4
"133","ADGR",3,"Increase + Fluctuation",-5.67937321384115,-0.494520994563194,-6.17389420840434,4
