"","combination","temp","rep","NetEffect","N"
"1","AR","Fluctuation",2,0.0721084216035994,"2"
"2","AT","Fluctuation",3,0.313951315361727,"2"
"3","AD","Constant",1,-0.149696311730661,"2"
"4","AD","Constant",2,-0.00186172037024046,"2"
"5","AD","Constant",3,-0.000432258230931404,"2"
"6","AG","Constant",1,0.0882388161069839,"2"
"7","AG","Constant",2,0.057343895664484,"2"
"8","AG","Constant",3,0.0845288613684815,"2"
"9","AR","Constant",1,0.0413959497957679,"2"
"10","AR","Constant",2,0.0672016411982672,"2"
"11","AR","Constant",3,0.194751213939851,"2"
"12","AT","Constant",1,-0.124869876418204,"2"
"13","AT","Constant",2,-0.0821334392767791,"2"
"14","AT","Constant",3,0.0521164940404923,"2"
"15","AD","Fluctuation",1,0.195445695001109,"2"
"16","AD","Fluctuation",2,0.199354518700877,"2"
"17","AD","Fluctuation",3,0.0306299796731747,"2"
"18","AG","Fluctuation",1,0.0756308853220204,"2"
"19","AG","Fluctuation",2,0.0143054015803922,"2"
"20","AG","Fluctuation",3,0.0990419875261738,"2"
"21","AR","Fluctuation",1,0.472483468130347,"2"
"22","AR","Fluctuation",3,-0.161535572608392,"2"
"23","AT","Fluctuation",1,0.434256068254018,"2"
"24","AT","Fluctuation",2,0.57621514603022,"2"
"25","AD","Increase",1,0.0641567800047239,"2"
"26","AD","Increase",2,0.193597781040209,"2"
"27","AD","Increase",3,0.172330153213068,"2"
"28","AG","Increase",1,-0.00808714667963564,"2"
"29","AG","Increase",2,0.0761595666379731,"2"
"30","AG","Increase",3,0.135614131789107,"2"
"31","AR","Increase",1,-0.258047165550868,"2"
"32","AR","Increase",2,-0.0955638025838299,"2"
"33","AR","Increase",3,-0.562570116062773,"2"
"34","AT","Increase",1,0.373783444343201,"2"
"35","AT","Increase",2,0.473896574411896,"2"
"36","AT","Increase",3,0.467757583699663,"2"
"37","AD","IncreaseFluctuation",1,0.167583246978095,"2"
"38","AD","IncreaseFluctuation",2,0.17270773917772,"2"
"39","AD","IncreaseFluctuation",3,0.0808669353546112,"2"
"40","AG","IncreaseFluctuation",1,0.0453715833659155,"2"
"41","AG","IncreaseFluctuation",2,0.0386767758273419,"2"
"42","AG","IncreaseFluctuation",3,0.0382295366057893,"2"
"43","AR","IncreaseFluctuation",1,-0.644950355541835,"2"
"44","AR","IncreaseFluctuation",2,-0.673781005917106,"2"
"45","AR","IncreaseFluctuation",3,0.779168906757331,"2"
"46","AT","IncreaseFluctuation",1,0.735019727183159,"2"
"47","AT","IncreaseFluctuation",2,0.227297910711911,"2"
"48","AT","IncreaseFluctuation",3,0.550610283749302,"2"
"49","DG","Fluctuation",1,0.0192619770210041,"2"
"50","DG","IncreaseFluctuation",1,0.0411468034568555,"2"
"51","DT","Fluctuation",2,0.588768655561248,"2"
"52","DT","Constant",2,0.233082571595547,"2"
"53","DG","Increase",2,0.0360857356091985,"2"
"54","DR","Constant",3,0.268419058979005,"2"
"55","DG","Fluctuation",3,0.071184068005373,"2"
"56","DR","IncreaseFluctuation",2,-0.267016778850324,"2"
"57","DG","Constant",1,-0.370479054897306,"2"
"58","DT","Increase",2,0.254992913256718,"2"
"59","DG","IncreaseFluctuation",2,0.00575314496678597,"2"
"60","DG","Increase",3,0.022526109930528,"2"
"61","DG","Constant",3,-0.0232283540461834,"2"
"62","DT","Fluctuation",3,0.430447915281727,"2"
"63","DR","Increase",1,0.303286237513125,"2"
"64","DG","Increase",1,0.00461368944629532,"2"
"65","DR","Increase",2,0.931000312573539,"2"
"66","DT","Increase",3,0.669022673232595,"2"
"67","DR","IncreaseFluctuation",1,-0.284673602436557,"2"
