"","row","method","treat","combination","column","blank","fileName","sampling","value","ID"
"1","B","395,680","flucinc","mono","V2",5,"./flucinc_mono_s9.txt",9,168,"A_Low_1"
"2","B","395,680","flucinc","mono","V2",5,"./flucinc_mono_s8.txt",8,109,"A_Low_1"
"3","B","395,680","flucinc","mono","V2",5,"./flucinc_mono_s7.txt",7,105,"A_Low_1"
"4","B","395,680","flucinc","mono","V2",5,"./flucinc_mono_s6.txt",6,103,"A_Low_1"
"5","B","395,680","flucinc","mono","V2",5,"./flucinc_mono_s5.txt",5,85,"A_Low_1"
"6","B","395,680","flucinc","mono","V2",5,"./flucinc_mono_s4.txt",4,20,"A_Low_1"
"7","B","395,680","flucinc","mono","V2",5,"./flucinc_mono_s3.txt",3,11,"A_Low_1"
"8","B","395,680","flucinc","mono","V2",5,"./flucinc_mono_s2.txt",2,14,"A_Low_1"
"9","B","395,680","flucinc","mono","V2",5,"./flucinc_mono_s15.txt",15,193,"A_Low_1"
"10","B","395,680","flucinc","mono","V2",5,"./flucinc_mono_s14.txt",14,320,"A_Low_1"
"11","B","395,680","flucinc","mono","V2",5,"./flucinc_mono_s13.txt",13,215,"A_Low_1"
"12","B","395,680","flucinc","mono","V2",5,"./flucinc_mono_s12.txt",12,137,"A_Low_1"
"13","B","395,680","flucinc","mono","V2",5,"./flucinc_mono_s10.txt",10,180,"A_Low_1"
"14","B","395,680","flucinc","mono","V2",5,"./flucinc_mono_s1.txt",1,11,"A_Low_1"
"15","C","395,680","flucinc","mono","V2",0,"./flucinc_mono_s9.txt",9,75,"D_Low_1"
"16","C","395,680","flucinc","mono","V2",0,"./flucinc_mono_s8.txt",8,75,"D_Low_1"
"17","C","395,680","flucinc","mono","V2",0,"./flucinc_mono_s7.txt",7,48,"D_Low_1"
"18","C","395,680","flucinc","mono","V2",0,"./flucinc_mono_s6.txt",6,42,"D_Low_1"
"19","C","395,680","flucinc","mono","V2",0,"./flucinc_mono_s5.txt",5,20,"D_Low_1"
"20","C","395,680","flucinc","mono","V2",0,"./flucinc_mono_s4.txt",4,17,"D_Low_1"
"21","C","395,680","flucinc","mono","V2",0,"./flucinc_mono_s3.txt",3,11,"D_Low_1"
"22","C","395,680","flucinc","mono","V2",0,"./flucinc_mono_s2.txt",2,8,"D_Low_1"
"23","C","395,680","flucinc","mono","V2",0,"./flucinc_mono_s15.txt",15,7,"D_Low_1"
"24","C","395,680","flucinc","mono","V2",0,"./flucinc_mono_s14.txt",14,4,"D_Low_1"
"25","C","395,680","flucinc","mono","V2",0,"./flucinc_mono_s13.txt",13,12,"D_Low_1"
"26","C","395,680","flucinc","mono","V2",0,"./flucinc_mono_s12.txt",12,8,"D_Low_1"
"27","C","395,680","flucinc","mono","V2",0,"./flucinc_mono_s10.txt",10,53,"D_Low_1"
"28","C","395,680","flucinc","mono","V2",0,"./flucinc_mono_s1.txt",1,5,"D_Low_1"
"29","D","395,680","flucinc","mono","V2",5,"./flucinc_mono_s9.txt",9,5,"G_Low_1"
"30","D","395,680","flucinc","mono","V2",5,"./flucinc_mono_s8.txt",8,0,"G_Low_1"
"31","D","395,680","flucinc","mono","V2",5,"./flucinc_mono_s7.txt",7,3,"G_Low_1"
"32","D","395,680","flucinc","mono","V2",5,"./flucinc_mono_s6.txt",6,10,"G_Low_1"
"33","D","395,680","flucinc","mono","V2",5,"./flucinc_mono_s5.txt",5,0,"G_Low_1"
"34","D","395,680","flucinc","mono","V2",5,"./flucinc_mono_s4.txt",4,5,"G_Low_1"
"35","D","395,680","flucinc","mono","V2",5,"./flucinc_mono_s3.txt",3,0,"G_Low_1"
"36","D","395,680","flucinc","mono","V2",5,"./flucinc_mono_s2.txt",2,2,"G_Low_1"
"37","D","395,680","flucinc","mono","V2",5,"./flucinc_mono_s15.txt",15,6,"G_Low_1"
"38","D","395,680","flucinc","mono","V2",5,"./flucinc_mono_s14.txt",14,3,"G_Low_1"
"39","D","395,680","flucinc","mono","V2",5,"./flucinc_mono_s13.txt",13,6,"G_Low_1"
"40","D","395,680","flucinc","mono","V2",5,"./flucinc_mono_s12.txt",12,5,"G_Low_1"
"41","D","395,680","flucinc","mono","V2",5,"./flucinc_mono_s10.txt",10,7,"G_Low_1"
"42","D","395,680","flucinc","mono","V2",5,"./flucinc_mono_s1.txt",1,4,"G_Low_1"
"43","E","395,680","flucinc","mono","V2",1,"./flucinc_mono_s9.txt",9,41,"R_Low_1"
"44","E","395,680","flucinc","mono","V2",1,"./flucinc_mono_s8.txt",8,80,"R_Low_1"
"45","E","395,680","flucinc","mono","V2",1,"./flucinc_mono_s7.txt",7,66,"R_Low_1"
