"";"row";"method";"fileName";"combination";"sampling";"column";"value";"ID";"treat"
"1";"A";"395,680";"./mix_s9.txt";"mix";9;"V1";1;"MQ";NA
"2";"B";"395,680";"./mix_s9.txt";"mix";9;"V1";1;"MQ";NA
"3";"C";"395,680";"./mix_s9.txt";"mix";9;"V1";6;"MQ";NA
"4";"D";"395,680";"./mix_s9.txt";"mix";9;"V1";1;"MQ";NA
"5";"E";"395,680";"./mix_s9.txt";"mix";9;"V1";2;"MQ";NA
"6";"F";"395,680";"./mix_s9.txt";"mix";9;"V1";6;"MQ";NA
"7";"A";"614,680";"./mix_s9.txt";"mix";9;"V1";2;"MQ";NA
"8";"B";"614,680";"./mix_s9.txt";"mix";9;"V1";0;"MQ";NA
"9";"C";"614,680";"./mix_s9.txt";"mix";9;"V1";0;"MQ";NA
"10";"D";"614,680";"./mix_s9.txt";"mix";9;"V1";4;"MQ";NA
"11";"E";"614,680";"./mix_s9.txt";"mix";9;"V1";0;"MQ";NA
"12";"F";"614,680";"./mix_s9.txt";"mix";9;"V1";0;"MQ";NA
"13";"A";"440,660";"./mix_s9.txt";"mix";9;"V1";2;"MQ";NA
"14";"B";"440,660";"./mix_s9.txt";"mix";9;"V1";2;"MQ";NA
"15";"C";"440,660";"./mix_s9.txt";"mix";9;"V1";4;"MQ";NA
"16";"D";"440,660";"./mix_s9.txt";"mix";9;"V1";0;"MQ";NA
"17";"E";"440,660";"./mix_s9.txt";"mix";9;"V1";0;"MQ";NA
"18";"F";"440,660";"./mix_s9.txt";"mix";9;"V1";9;"MQ";NA
"19";"A";"440";"./mix_s9.txt";"mix";9;"V1";0,039;"MQ";NA
"20";"B";"440";"./mix_s9.txt";"mix";9;"V1";0,041;"MQ";NA
"21";"C";"440";"./mix_s9.txt";"mix";9;"V1";0,041;"MQ";NA
"22";"D";"440";"./mix_s9.txt";"mix";9;"V1";0,04;"MQ";NA
"23";"E";"440";"./mix_s9.txt";"mix";9;"V1";0,04;"MQ";NA
